year,city,country,avg_temp,MOVING_AVG
1996,Patna,India,25.75,25.692
1997,Patna,India,25.46,25.668
1998,Patna,India,25.87,25.71
1999,Patna,India,25.97,25.762
2000,Patna,India,25.58,25.726
2001,Patna,India,25.82,25.74
2002,Patna,India,26.06,25.86
2003,Patna,India,25.83,25.852
2004,Patna,India,25.69,25.796
2005,Patna,India,26.11,25.902
2006,Patna,India,26.13,25.964
2007,Patna,India,25.59,25.87
2008,Patna,India,25.56,25.816
2009,Patna,India,26.31,25.94
2010,Patna,India,26.54,26.026
2011,Patna,India,25.48,25.896
2012,Patna,India,25.98,25.974
2013,Patna,India,26.79,26.22
